,0
0,False
1,False
2,False
3,True
4,False
5,False
6,False
7,False
8,True
9,False
10,True
11,True
12,False
13,True
14,True
15,True
16,True
17,True
18,False
19,False
20,True
21,False
22,False
23,False
24,True
25,True
26,True
27,False
28,True
29,True
30,True
31,True
32,True
33,True
34,False
35,True
36,True
37,True
38,False
39,False
40,False
41,True
42,False
43,True
44,True
45,True
46,True
47,False
48,False
49,True
50,False
51,False
52,False
53,True
54,False
55,True
56,False
57,False
58,False
59,False
60,True
61,True
62,False
63,False
64,False
65,True
66,True
67,True
68,False
69,False
70,True
71,True
72,True
73,False
74,True
75,True
76,True
77,True
78,True
79,True
80,True
81,False
82,False
83,True
84,True
85,True
86,True
87,True
88,False
89,True
90,True
91,True
92,False
93,True
94,True
95,True
96,True
97,True
98,True
99,True
100,False
101,True
102,False
103,True
104,False
105,False
106,False
107,False
108,False
109,False
110,False
111,False
112,True
113,True
114,True
115,False
116,True
117,True
118,False
119,False
120,True
121,False
122,True
123,True
124,False
125,True
126,False
127,True
128,True
129,False
130,True
131,True
132,True
133,True
134,True
135,True
136,True
137,False
138,False
139,False
140,False
141,True
142,False
143,True
144,True
145,True
146,True
147,True
148,False
149,True
150,True
151,False
152,True
153,False
154,False
155,True
156,True
157,True
158,True
159,False
160,False
161,True
162,False
163,True
164,True
165,True
166,True
167,False
168,False
169,False
170,True
171,True
172,False
173,True
174,False
175,False
176,False
177,True
178,True
179,True
180,False
181,False
182,False
183,False
184,True
185,True
186,True
187,True
188,False
189,False
190,False
191,True
192,False
193,True
194,False
195,True
196,False
197,False
198,False
199,True
200,False
201,True
202,True
203,False
204,False
205,False
206,False
207,False
208,True
209,True
210,False
211,False
212,True
213,False
214,True
215,True
216,True
217,True
218,True
219,False
220,False
221,True
222,True
223,False
224,True
225,False
226,True
227,False
228,True
229,True
230,True
231,True
232,True
233,False
234,False
235,True
236,False
237,True
238,True
239,False
240,True
241,False
242,True
243,False
244,False
245,False
246,False
247,True
248,False
249,False
250,False
251,False
252,False
253,False
254,False
255,False
256,True
257,True
258,True
